Sp_Name,SpName,id,order,family,subfamily,tribe,genus,specificEpithet,CMW_sciName,MSW3_sciName,SynonymUsedMDD,X,tiplabel,gen,fam,ord,clade,higher,MSW3_sciName_matched,genes,extinct.,samp,PC,SynonymMatched,Phylo_Name,PhyloName
Sciurotamias_forresti,Sciurotamias forresti,1001769,RODENTIA,SCIURIDAE,XERINAE,SCIUROTAMIINI,Sciurotamias,forresti,Sciurotamias forresti,Sciurotamias forresti,NA,310,Sciurotamias_forresti_SCIURIDAE_RODENTIA,Sciurotamias,SCIURIDAE,RODENTIA,Squirrel-related,Euarchontoglires,Sciurotamias_forresti,0,0,imputed,PC13_SquirrelRelated,NA,Sciurotamias_forresti,Sciurotamias forresti
Sciurus_aberti,Sciurus aberti,1001674,RODENTIA,SCIURIDAE,SCIURINAE,SCIURINI,Sciurus,aberti,Sciurus aberti,Sciurus aberti,NA,311,Sciurus_aberti_SCIURIDAE_RODENTIA,Sciurus,SCIURIDAE,RODENTIA,Squirrel-related,Euarchontoglires,Sciurus_aberti,2,0,sampled,PC13_SquirrelRelated,NA,Sciurus_aberti,Sciurus aberti
Sciurus_aestuans,Sciurus aestuans,1001675,RODENTIA,SCIURIDAE,SCIURINAE,SCIURINI,Sciurus,aestuans,Sciurus aestuans,Sciurus aestuans,NA,312,Sciurus_aestuans_SCIURIDAE_RODENTIA,Sciurus,SCIURIDAE,RODENTIA,Squirrel-related,Euarchontoglires,Sciurus_aestuans,8,0,sampled,PC13_SquirrelRelated,NA,Sciurus_aestuans,Sciurus aestuans
Sciurus_carolinensis,Sciurus carolinensis,1001680,RODENTIA,SCIURIDAE,SCIURINAE,SCIURINI,Sciurus,carolinensis,Sciurus carolinensis,Sciurus carolinensis,NA,313,Sciurus_carolinensis_SCIURIDAE_RODENTIA,Sciurus,SCIURIDAE,RODENTIA,Squirrel-related,Euarchontoglires,Sciurus_carolinensis,4,0,sampled,PC13_SquirrelRelated,NA,Sciurus_carolinensis,Sciurus carolinensis
Sciurus_griseus,Sciurus griseus,1001686,RODENTIA,SCIURIDAE,SCIURINAE,SCIURINI,Sciurus,griseus,Sciurus griseus,Sciurus griseus,NA,314,Sciurus_griseus_SCIURIDAE_RODENTIA,Sciurus,SCIURIDAE,RODENTIA,Squirrel-related,Euarchontoglires,Sciurus_griseus,1,0,sampled,PC13_SquirrelRelated,NA,Sciurus_griseus,Sciurus griseus
Sciurus_ignitus,Sciurus ignitus,1001687,RODENTIA,SCIURIDAE,SCIURINAE,SCIURINI,Sciurus,ignitus,Sciurus ignitus,Sciurus ignitus,NA,315,Sciurus_ignitus_SCIURIDAE_RODENTIA,Sciurus,SCIURIDAE,RODENTIA,Squirrel-related,Euarchontoglires,Sciurus_ignitus,3,0,sampled,PC13_SquirrelRelated,NA,Sciurus_ignitus,Sciurus ignitus
Sciurus_igniventris,Sciurus igniventris,1001688,RODENTIA,SCIURIDAE,SCIURINAE,SCIURINI,Sciurus,igniventris,Sciurus igniventris,Sciurus igniventris,NA,316,Sciurus_igniventris_SCIURIDAE_RODENTIA,Sciurus,SCIURIDAE,RODENTIA,Squirrel-related,Euarchontoglires,Sciurus_igniventris,1,0,sampled,PC13_SquirrelRelated,NA,Sciurus_igniventris,Sciurus igniventris
Sciurus_nayaritensis,Sciurus nayaritensis,1001691,RODENTIA,SCIURIDAE,SCIURINAE,SCIURINI,Sciurus,nayaritensis,Sciurus nayaritensis,Sciurus nayaritensis,NA,317,Sciurus_nayaritensis_SCIURIDAE_RODENTIA,Sciurus,SCIURIDAE,RODENTIA,Squirrel-related,Euarchontoglires,Sciurus_nayaritensis,0,0,imputed,PC13_SquirrelRelated,NA,Sciurus_nayaritensis,Sciurus nayaritensis
Sciurus_niger,Sciurus niger,1001692,RODENTIA,SCIURIDAE,SCIURINAE,SCIURINI,Sciurus,niger,Sciurus niger,Sciurus niger,NA,318,Sciurus_niger_SCIURIDAE_RODENTIA,Sciurus,SCIURIDAE,RODENTIA,Squirrel-related,Euarchontoglires,Sciurus_niger,5,0,sampled,PC13_SquirrelRelated,NA,Sciurus_niger,Sciurus niger
Sciurus_sanborni,Sciurus sanborni,1001697,RODENTIA,SCIURIDAE,SCIURINAE,SCIURINI,Sciurus,sanborni,Sciurus sanborni,Sciurus sanborni,NA,319,Sciurus_sanborni_SCIURIDAE_RODENTIA,Sciurus,SCIURIDAE,RODENTIA,Squirrel-related,Euarchontoglires,Sciurus_sanborni,0,0,imputed,PC13_SquirrelRelated,NA,Sciurus_sanborni,Sciurus sanborni
Sciurus_spadiceus,Sciurus spadiceus,1001698,RODENTIA,SCIURIDAE,SCIURINAE,SCIURINI,Sciurus,spadiceus,Sciurus spadiceus,Sciurus spadiceus,NA,320,Sciurus_spadiceus_SCIURIDAE_RODENTIA,Sciurus,SCIURIDAE,RODENTIA,Squirrel-related,Euarchontoglires,Sciurus_spadiceus,2,0,sampled,PC13_SquirrelRelated,NA,Sciurus_spadiceus,Sciurus spadiceus
Scotinomys_teguina,Scotinomys teguina,1002221,RODENTIA,CRICETIDAE,NEOTOMINAE,BAIOMYINI,Scotinomys,teguina,Scotinomys teguina,Scotinomys teguina,NA,321,Scotinomys_teguina_CRICETIDAE_RODENTIA,Scotinomys,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Scotinomys_teguina,7,0,sampled,PC12_Cricetidae,NA,Scotinomys_teguina,Scotinomys teguina
Sicista_concolor,Sicista concolor,1002001,RODENTIA,SMINTHIDAE,NA,NA,Sicista,concolor,Sicista concolor,Sicista concolor,NA,322,Sicista_concolor_DIPODIDAE_RODENTIA,Sicista,DIPODIDAE,RODENTIA,Mouse-related,Euarchontoglires,Sicista_concolor,1,0,sampled,PC8_Dipodidae,NA,Sicista_concolor,Sicista concolor
Sigmodon_arizonae,Sigmodon arizonae,1002743,RODENTIA,CRICETIDAE,SIGMODONTINAE,SIGMODONTINI,Sigmodon,arizonae,Sigmodon arizonae,Sigmodon arizonae,NA,323,Sigmodon_arizonae_CRICETIDAE_RODENTIA,Sigmodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Sigmodon_arizonae,6,0,sampled,PC12_Cricetidae,NA,Sigmodon_arizonae,Sigmodon arizonae
Sigmodon_fulviventer,Sigmodon fulviventer,1002744,RODENTIA,CRICETIDAE,SIGMODONTINAE,SIGMODONTINI,Sigmodon,fulviventer,Sigmodon fulviventer,Sigmodon fulviventer,NA,324,Sigmodon_fulviventer_CRICETIDAE_RODENTIA,Sigmodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Sigmodon_fulviventer,2,0,sampled,PC12_Cricetidae,NA,Sigmodon_fulviventer,Sigmodon fulviventer
Sigmodon_hispidus,Sigmodon hispidus,1002746,RODENTIA,CRICETIDAE,SIGMODONTINAE,SIGMODONTINI,Sigmodon,hispidus,Sigmodon hispidus,Sigmodon hispidus,NA,325,Sigmodon_hispidus_CRICETIDAE_RODENTIA,Sigmodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Sigmodon_hispidus,7,0,sampled,PC12_Cricetidae,NA,Sigmodon_hispidus,Sigmodon hispidus
Sigmodon_mascotensis,Sigmodon mascotensis,1002749,RODENTIA,CRICETIDAE,SIGMODONTINAE,SIGMODONTINI,Sigmodon,mascotensis,Sigmodon mascotensis,Sigmodon mascotensis,NA,326,Sigmodon_mascotensis_CRICETIDAE_RODENTIA,Sigmodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Sigmodon_mascotensis,3,0,sampled,PC12_Cricetidae,NA,Sigmodon_mascotensis,Sigmodon mascotensis
Sigmodon_ochrognathus,Sigmodon ochrognathus,1002750,RODENTIA,CRICETIDAE,SIGMODONTINAE,SIGMODONTINI,Sigmodon,ochrognathus,Sigmodon ochrognathus,Sigmodon ochrognathus,NA,327,Sigmodon_ochrognathus_CRICETIDAE_RODENTIA,Sigmodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Sigmodon_ochrognathus,2,0,sampled,PC12_Cricetidae,NA,Sigmodon_ochrognathus,Sigmodon ochrognathus
Sigmodontomys_aphrastus,Sigmodontomys aphrastus,1002671,RODENTIA,CRICETIDAE,SIGMODONTINAE,ORYZOMYINI,Tanyuromys,aphrastus,Tanyuromys aphrastus,Tanyuromys aphrastus,Tanyuromys aphrastus,328,Sigmodontomys_aphrastus_CRICETIDAE_RODENTIA,Sigmodontomys,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Sigmodontomys_aphrastus,2,0,sampled,PC12_Cricetidae,NA,Sigmodontomys_aphrastus,Sigmodontomys aphrastus
Sooretamys_angouya,Sooretamys angouya,1002670,RODENTIA,CRICETIDAE,SIGMODONTINAE,ORYZOMYINI,Sooretamys,angouya,Sooretamys angouya,Oryzomys angouya,NA,329,Sooretamys_angouya_CRICETIDAE_RODENTIA,Sooretamys,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,NA,5,0,sampled,PC12_Cricetidae,NA,Sooretamys_angouya,Sooretamys angouya
Spermophilus_armatus,Spermophilus armatus,1001786,RODENTIA,SCIURIDAE,XERINAE,MARMOTINI,Urocitellus,armatus,Urocitellus armatus,Urocitellus armatus,Urocitellus armatus,383,Urocitellus_armatus_SCIURIDAE_RODENTIA,Urocitellus,SCIURIDAE,RODENTIA,Squirrel-related,Euarchontoglires,Urocitellus_armatus,1,0,sampled,PC13_SquirrelRelated,Urocitellus_armatus,Urocitellus_armatus,Urocitellus armatus
