"poIDs","Mtn","elevation","SR","Vol","FEve","FDis","PD","PEve","MPD","SES.Vol","SES.FEve","SES.FDis","SES.PD","SES.PEve","SES.MPD","elev_scaled","Lon","Lat","temp.10min","temp.0.5deg","temp.1deg","prec.10min","prec.0.5deg","prec.1deg","AI.30sec","AI.10min","AI.0.5deg","AI.1deg","Novel_or_update","Previous_use","Method_simple","DataSource","EffortGrade","Biome","Location","Latitude","Longitude","Aridity","Mtn_Height_m","Mtn_Base_m","Elev_range_sampled_m","Elev_coverage","n_100m_bins","bin_extent","bin_min","bin_max","extent_sum","U800g_SR_NativeRodents","U800g_min_SR_per_bin","U800g_max_SR_per_bin","apparent_pattern","Aridity_AI.5deg.Cat","Aridity_.5deg","elev_scaledGlob","LatitudeAbs_scaled","aridity_scaled","elev_norm","elev_normScaledGlob"
835,"Tucuman",1300,16,0.0715370837042409,0.935824591278654,0.17076472275355,333.28318435724,0.717062603989109,75.9220996855389,0.420094645358685,1.0715061407277,0.744701740833329,0.707954690786742,1.23727634379331,0.911862166529225,-0.812628976629887,-65.5,-27,19.9,20.03333333,18.83055556,96.2,92.81111111,74.6,0.5357,0.5513,0.533666667,0.429347222,"novel","none","Gamma","records compilation","Medium","Subtropical","continental",-27,-65.5,"dry",5500,300,4100,0.79,41,"0300-4399",300,4399,4100,32,1,18,"low-mid peak","HumidSub","dry",-0.964784691782005,-0.270593156214642,-0.27380267019468,0.256410256410256,-0.804228360603471
836,"Tucuman",1400,15,0.0682461479987617,0.938734791346285,0.172094169530888,324.0741152387,0.716568611574604,78.0902650253785,0.293089284812994,1.39537144422548,0.88484152443803,0.801617918100494,1.25152055025584,1.1457944456892,-0.727089084353056,-65.5,-27,19.9,20.03333333,18.83055556,96.2,92.81111111,74.6,0.5357,0.5513,0.533666667,0.429347222,"novel","none","Gamma","records compilation","Medium","Subtropical","continental",-27,-65.5,"dry",5500,300,4100,0.79,41,"0300-4399",300,4399,4100,32,1,18,"low-mid peak","HumidSub","dry",-0.849062538724595,-0.270593156214642,-0.27380267019468,0.282051282051282,-0.719793458178825
837,"Tucuman",1500,15,0.0682461479987617,0.938734791346285,0.172094169530888,324.0741152387,0.716568611574604,78.0902650253785,0.24174682434988,1.36951661469233,0.826925390542877,0.742042200000241,1.19179964840182,1.13242786683209,-0.641549192076226,-65.5,-27,19.9,20.03333333,18.83055556,96.2,92.81111111,74.6,0.5357,0.5513,0.533666667,0.429347222,"novel","none","Gamma","records compilation","Medium","Subtropical","continental",-27,-65.5,"dry",5500,300,4100,0.79,41,"0300-4399",300,4399,4100,32,1,18,"low-mid peak","HumidSub","dry",-0.733340385667184,-0.270593156214642,-0.27380267019468,0.307692307692308,-0.635358555754179
838,"Tucuman",1600,16,0.0682461479987617,0.936992512844659,0.172767164861141,332.059518192084,0.714130304077793,75.8799984607528,-0.0401138764580741,1.17626259785115,0.918056778831468,0.653179138571425,1.17359655729567,0.948543632540811,-0.556009299799396,-65.5,-27,19.9,20.03333333,18.83055556,96.2,92.81111111,74.6,0.5357,0.5513,0.533666667,0.429347222,"novel","none","Gamma","records compilation","Medium","Subtropical","continental",-27,-65.5,"dry",5500,300,4100,0.79,41,"0300-4399",300,4399,4100,32,1,18,"low-mid peak","HumidSub","dry",-0.617618232609774,-0.270593156214642,-0.27380267019468,0.333333333333333,-0.550923653329532
839,"Tucuman",1700,18,0.0527540943709731,0.922347019861457,0.161253817927416,339.421387926799,0.687617841645102,71.7664256652798,-2.69260085781356,-1.07744083893948,-0.464710977698293,-0.225961395104098,0.0798827517081307,0.371050963376753,-0.470469407522566,-65.5,-27,19.9,20.03333333,18.83055556,96.2,92.81111111,74.6,0.5357,0.5513,0.533666667,0.429347222,"novel","none","Gamma","records compilation","Medium","Subtropical","continental",-27,-65.5,"dry",5500,300,4100,0.79,41,"0300-4399",300,4399,4100,32,1,18,"low-mid peak","HumidSub","dry",-0.501896079552364,-0.270593156214642,-0.27380267019468,0.358974358974359,-0.466488750904886
840,"Tucuman",1800,17,0.0527540943709731,0.922590129764825,0.165133769856163,333.741263586299,0.695564362205721,73.7164394693399,-2.20064159466027,-0.609325834495305,0.0465726854117167,-0.0391754496722583,0.319191063977251,0.673214685702244,-0.384929515245736,-65.5,-27,19.9,20.03333333,18.83055556,96.2,92.81111111,74.6,0.5357,0.5513,0.533666667,0.429347222,"novel","none","Gamma","records compilation","Medium","Subtropical","continental",-27,-65.5,"dry",5500,300,4100,0.79,41,"0300-4399",300,4399,4100,32,1,18,"low-mid peak","HumidSub","dry",-0.386173926494953,-0.270593156214642,-0.27380267019468,0.384615384615385,-0.38205384848024
841,"Tucuman",1900,15,0.0503967719368257,0.915035849074299,0.162410425796371,312.584829191492,0.687473308554773,69.5121970580045,-1.72859067997513,-0.258313530975072,-0.113732231050296,-0.0139551881548572,0.0349697954621299,0.0592311591516152,-0.299389622968906,-65.5,-27,19.9,20.03333333,18.83055556,96.2,92.81111111,74.6,0.5357,0.5513,0.533666667,0.429347222,"novel","none","Gamma","records compilation","Medium","Subtropical","continental",-27,-65.5,"dry",5500,300,4100,0.79,41,"0300-4399",300,4399,4100,32,1,18,"low-mid peak","HumidSub","dry",-0.270451773437543,-0.270593156214642,-0.27380267019468,0.41025641025641,-0.297618946055594
842,"Tucuman",2000,15,0.0503967719368257,0.915035849074299,0.162410425796371,312.584829191492,0.687473308554773,69.5121970580045,-1.7345849979206,-0.230763262289044,-0.100780230869944,-0.0514393641279815,0.0206655027651604,0.0858716747906377,-0.213849730692075,-65.5,-27,19.9,20.03333333,18.83055556,96.2,92.81111111,74.6,0.5357,0.5513,0.533666667,0.429347222,"novel","none","Gamma","records compilation","Medium","Subtropical","continental",-27,-65.5,"dry",5500,300,4100,0.79,41,"0300-4399",300,4399,4100,32,1,18,"low-mid peak","HumidSub","dry",-0.154729620380133,-0.270593156214642,-0.27380267019468,0.435897435897436,-0.213184043630947
843,"Tucuman",2100,15,0.0503967719368257,0.915035849074299,0.162410425796371,312.584829191492,0.687473308554773,69.5121970580045,-1.6914204145456,-0.264261169863912,-0.141138701138485,-0.0239467376248893,0.0521898962930145,0.0792247046683229,-0.128309838415245,-65.5,-27,19.9,20.03333333,18.83055556,96.2,92.81111111,74.6,0.5357,0.5513,0.533666667,0.429347222,"novel","none","Gamma","records compilation","Medium","Subtropical","continental",-27,-65.5,"dry",5500,300,4100,0.79,41,"0300-4399",300,4399,4100,32,1,18,"low-mid peak","HumidSub","dry",-0.0390074673227225,-0.270593156214642,-0.27380267019468,0.461538461538462,-0.128749141206301
844,"Tucuman",2200,15,0.0503967719368257,0.915035849074299,0.162410425796371,312.584829191492,0.687473308554773,69.5121970580045,-1.80639459446233,-0.241039829838774,-0.129735255020474,-0.0430608099967858,0.0473259094052084,0.054204102847689,-0.0427699461384151,-65.5,-27,19.9,20.03333333,18.83055556,96.2,92.81111111,74.6,0.5357,0.5513,0.533666667,0.429347222,"novel","none","Gamma","records compilation","Medium","Subtropical","continental",-27,-65.5,"dry",5500,300,4100,0.79,41,"0300-4399",300,4399,4100,32,1,18,"low-mid peak","HumidSub","dry",0.0767146857346879,-0.270593156214642,-0.27380267019468,0.487179487179487,-0.044314238781655
845,"Tucuman",2300,13,0.0480212167840591,0.912924799274878,0.152753147793479,302.653765685541,0.705690303133091,63.7771523077059,-1.22218668231958,0.302909478889365,-0.900863047227579,0.746893463658945,0.852243523093575,-0.679178228997491,0.0427699461384151,-65.5,-27,19.9,20.03333333,18.83055556,96.2,92.81111111,74.6,0.5357,0.5513,0.533666667,0.429347222,"novel","none","Gamma","records compilation","Medium","Subtropical","continental",-27,-65.5,"dry",5500,300,4100,0.79,41,"0300-4399",300,4399,4100,32,1,18,"low-mid peak","HumidSub","dry",0.192436838792098,-0.270593156214642,-0.27380267019468,0.512820512820513,0.0401206636429911
846,"Tucuman",2400,15,0.0480212167840591,0.931936878008463,0.15193709355482,332.284106495199,0.70842658702366,61.6321475687738,-2.00268973145082,0.95100486223139,-1.28354137136232,1.47192206099421,0.971896410026391,-0.996260442815052,0.128309838415245,-65.5,-27,19.9,20.03333333,18.83055556,96.2,92.81111111,74.6,0.5357,0.5513,0.533666667,0.429347222,"novel","none","Gamma","records compilation","Medium","Subtropical","continental",-27,-65.5,"dry",5500,300,4100,0.79,41,"0300-4399",300,4399,4100,32,1,18,"low-mid peak","HumidSub","dry",0.308158991849509,-0.270593156214642,-0.27380267019468,0.538461538461538,0.124555566067637
847,"Tucuman",2500,14,0.0480212167840591,0.926785275915741,0.151784216493101,327.908755774071,0.718799223990435,63.7465385444669,-1.61390782407737,0.82319719536605,-1.09554005964831,1.76033475726159,1.32902943906784,-0.703217398180091,0.213849730692075,-65.5,-27,19.9,20.03333333,18.83055556,96.2,92.81111111,74.6,0.5357,0.5513,0.533666667,0.429347222,"novel","none","Gamma","records compilation","Medium","Subtropical","continental",-27,-65.5,"dry",5500,300,4100,0.79,41,"0300-4399",300,4399,4100,32,1,18,"low-mid peak","HumidSub","dry",0.423881144906919,-0.270593156214642,-0.27380267019468,0.564102564102564,0.208990468492284
848,"Tucuman",2600,14,0.0480212167840591,0.926785275915741,0.151784216493101,327.908755774071,0.718799223990435,63.7465385444669,-1.65381622366735,0.804577457785566,-1.0430989867954,1.72376801994394,1.31412142629675,-0.649576107688952,0.299389622968906,-65.5,-27,19.9,20.03333333,18.83055556,96.2,92.81111111,74.6,0.5357,0.5513,0.533666667,0.429347222,"novel","none","Gamma","records compilation","Medium","Subtropical","continental",-27,-65.5,"dry",5500,300,4100,0.79,41,"0300-4399",300,4399,4100,32,1,18,"low-mid peak","HumidSub","dry",0.539603297964329,-0.270593156214642,-0.27380267019468,0.58974358974359,0.29342537091693
849,"Tucuman",2700,14,0.0480212167840591,0.926785275915741,0.151784216493101,327.908755774071,0.718799223990435,63.7465385444669,-1.66498682695651,0.785017079036395,-1.08536536075238,1.72446638893861,1.33555035098898,-0.677996484070569,0.384929515245736,-65.5,-27,19.9,20.03333333,18.83055556,96.2,92.81111111,74.6,0.5357,0.5513,0.533666667,0.429347222,"novel","none","Gamma","records compilation","Medium","Subtropical","continental",-27,-65.5,"dry",5500,300,4100,0.79,41,"0300-4399",300,4399,4100,32,1,18,"low-mid peak","HumidSub","dry",0.655325451021739,-0.270593156214642,-0.27380267019468,0.615384615384615,0.377860273341576
402,"Manu",1000,17,0.0311482356659578,0.936998657510179,0.122482058047352,367.735668834776,0.668473451555115,65.1765918819112,-0.738698779747316,0.638246470921263,-0.553904214244146,0.992425949405266,-0.169430383956025,0.528969728363092,-0.906103044511344,-71.37,-12.9,23.7,23.9,22.40833333,301.1,318.4777778,247.7388889,2.3323,2.1464,2.420366667,1.884544444,"update","2005","Gamma","combo","High","Tropical","continental",-12.9,-71.37,"wet",3450,300,3150,1,32,"0300-3499",300,3499,3200,47,7,25,"decr hollow or linear decline","HyperHumid","humid",-1.31195115095424,-1.53777263359747,3.04334983250648,0.225806451612903,-0.905005502207081
