,Sp_Name,SpName,MDD_id,order,family,subfamily,tribe,genus,specificEpithet,CMW_sciName,MSW3_sciName.x,CheekPouch,CheekPouchSource,SynonymUsedMDD,MSW3_sciName.y,MSW3_ID,MSWFamilyLatin,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,DietFillSource,Diet.Source,Diet.Certainty,ForStrat.Value,ForStrat.Certainty,Activity.Nocturnal,Activity.Crepuscular,Activity.Diurnal,ActivityFillSource,Activity.Source,Activity.Certainty,BodyMass.Value,BodyMass.Source,BodyMass.SpecLevel,SynonymUsedElt,Order,Family,Genus,Body_mass_g,MassFillSource,Adult_svl_cm,Litter_clutch_size,Diel_activity,Habitat_breadth_IUCN,Forest,Savanna,Shrubland,Grassland,Wetland,Rocky.areas,Caves.and.subterranean,Desert,Marine,Marine.intertidal.or.coastal.supratidal,Artificial,Introduced.vegetation,Other.Unknown,HabitatFillSource,SynonymUsedEtard,HBL,TL,HFL,EL,WT,RTL,RHFL,REL,ExtMsmtsFillSource,Habitat,H.source,Life.mode,Life.modeFillSource,Saltation,SaltationFillSource,SynonymUsedAlhajeri,,,
24,Apodemus_latronum,Apodemus latronum,1003017,RODENTIA,MURIDAE,MURINAE,APODEMINI,Apodemus,latronum,Apodemus latronum,Apodemus latronum,0,,NA,Apodemus latronum,2238,Muridae,20,0,0,0,0,0,20,0,20,40,,Ref_1,ABC,G,A,1,1,0,,Ref_1,ABC,35.2,Ref_117,1,,RODENTIA,MURIDAE,Apodemus,32.3,,12.656,5.22,Nocturnal,7,1,0,1,1,0,0,0,0,0,0,1,0,0,,,107,106,25,19,NA,0.99,0.23,0.18,,Grassland,Map,Terrestrial,,S2,,,,,
25,Apodemus_peninsulae,Apodemus peninsulae,1003021,RODENTIA,MURIDAE,MURINAE,APODEMINI,Apodemus,peninsulae,Apodemus peninsulae,Apodemus peninsulae,0,,NA,Apodemus peninsulae,2241,Muridae,20,0,0,0,0,0,20,0,20,40,,Ref_1,ABC,G,A,1,1,0,,Ref_1,ABC,32.9,Ref_117,1,,RODENTIA,MURIDAE,Apodemus,31.15,,12.656,4.555,Nocturnal,5,1,0,1,1,1,0,0,0,0,0,1,0,0,,,96,86,24,15,NA,0.9,0.25,0.16,,Forest,Map,Terrestrial,,S2,,,,,
26,Apodemus_sylvaticus,Apodemus sylvaticus,1003026,RODENTIA,MURIDAE,MURINAE,APODEMINI,Apodemus,sylvaticus,Apodemus sylvaticus,Apodemus sylvaticus,0,,NA,Apodemus sylvaticus,2246,Muridae,20,0,0,0,0,0,20,0,20,40,,Ref_1,ABC,G,A,1,1,0,,Ref_1,ABC,30.45,Ref_117,1,,RODENTIA,MURIDAE,Apodemus,23.4,,11.8755,5.17,Other,10,1,0,1,1,0,0,0,0,0,1,1,0,0,,,92,86,24,16,NA,0.93,0.26,0.17,,Forest,Map,Terrestrial,,S2,,,,,
27,Apomys_hylocetes,Apomys hylocetes,1003136,RODENTIA,MURIDAE,MURINAE,HYDROMYINI,Apomys,hylocoetes,Apomys hylocoetes,Apomys hylocoetes,0,,Apomys hylocoetes,Apomys hylocoetes,2257,Muridae,40,0,0,0,0,0,0,0,0,60,,Ref_1,ABC,G,A,1,0,0,,Ref_1,ABC,34.88,Ref_58,1,,RODENTIA,MURIDAE,Apomys,34.88,,12.625,NA,Nocturnal,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,112,134,30,20,45,1.2,0.27,0.18,,Forest,IUCN,Terrestrial,,S0,,,,,
28,Apomys_insignis,Apomys insignis,1003137,RODENTIA,MURIDAE,MURINAE,HYDROMYINI,Apomys,insignis,Apomys insignis,Apomys insignis,0,,NA,Apomys insignis,2252,Muridae,40,0,0,0,0,0,0,0,0,60,,Ref_1,ABC,G,A,1,0,0,,Ref_1,ABC,29.9,Ref_117,1,,RODENTIA,MURIDAE,Apomys,32.39,,12.625,NA,Nocturnal,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,,98,134,30,18,31,1.37,0.31,0.18,,Forest,IUCN,Terrestrial,,S0,,,,,
29,Arvicanthis_niloticus,Arvicanthis niloticus,1003046,RODENTIA,MURIDAE,MURINAE,ARVICANTHINI,Arvicanthis,niloticus,Arvicanthis niloticus,Arvicanthis niloticus,0,,NA,Arvicanthis niloticus,2260,Muridae,0,0,0,0,0,0,0,0,30,70,,Ref_1,ABC,G,A,1,1,1,,Ref_1,ABC,106.9,Ref_117,1,,RODENTIA,MURIDAE,Arvicanthis,101.35,,20.4,4.93,Nocturnal,10,0,1,1,1,0,0,0,0,0,0,1,0,0,,,141,115,31,18,102,0.82,0.22,0.13,,Savanna,Map,Terrestrial,,S0,,,,,
30,Arvicola_scherman,Arvicola scherman,1002037,RODENTIA,CRICETIDAE,ARVICOLINAE,ARVICOLINI,Arvicola,amphibius,Arvicola amphibius,Arvicola amphibius,0,,Arvicola amphibius,Arvicola amphibius,1444,Cricetidae,0,0,0,0,0,0,20,0,0,80,,Ref_2,D1,G,A,1,1,1,,Ref_2,D1,162.48,"Ref_2, Ref_3",0,,RODENTIA,CRICETIDAE,Arvicola,97.5,,22,5.09,Nocturnal,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,132,65,26,14,NA,0.49,0.2,0.11,IR,Grassland,IUCN,Terrestrial,,S0,,,,,
31,Baiomys_musculus,Baiomys musculus,1002219,RODENTIA,CRICETIDAE,NEOTOMINAE,BAIOMYINI,Baiomys,musculus,Baiomys musculus,Baiomys musculus,0,,NA,Baiomys musculus,1518,Cricetidae,10,0,0,0,0,0,0,0,10,80,,Ref_1,ABC,G,A,0,1,1,,Ref_1,ABC,9,Ref_117,1,,RODENTIA,CRICETIDAE,Baiomys,8.995,,7.8295,2.62,Other,6,1,0,1,1,0,0,0,0,0,0,1,0,0,,,68,45,15,11,NA,0.66,0.22,0.16,,Forest,Map,Terrestrial,,S0,,,,,
32,Baiomys_taylori,Baiomys taylori,1002220,RODENTIA,CRICETIDAE,NEOTOMINAE,BAIOMYINI,Baiomys,taylori,Baiomys taylori,Baiomys taylori,0,,NA,Baiomys taylori,1519,Cricetidae,10,0,0,0,0,0,0,0,10,80,,Ref_1,ABC,G,A,0,1,1,,Ref_1,ABC,8,Ref_117,1,,RODENTIA,CRICETIDAE,Baiomys,7.715,,7.245,2.595,Other,5,1,0,1,1,0,0,0,1,0,0,0,0,0,,,62,43,14,12,9,0.69,0.23,0.19,,Shrubland,Map,Terrestrial,,S0,,,,,
33,Batomys_salomonseni,Batomys salomonseni,1003426,RODENTIA,MURIDAE,MURINAE,PHLOEOMYINI,Batomys,salomonseni,Batomys salomonseni,Batomys salomonseni,0,,NA,Batomys salomonseni,2271,Muridae,0,0,0,0,0,0,30,0,30,40,,Ref_1,ABC,G,A,1,0,0,,Ref_1,ABC,187,Ref_117,1,,RODENTIA,MURIDAE,Batomys,186.38,,17.5,NA,Nocturnal,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,,185,137,37,23,190,0.74,0.2,0.12,,Forest,IUCN,Terrestrial,,S0,,,,,
